Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Europe,EU Taxonomy,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Europe,EU Taxonomy,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Europe,EuGB,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,EuGB,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,EuGB,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,EuGB,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,EuGB,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Consumer,Automotive,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Europe,IFRS/ISSB (inc CDSB+VRF),,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Europe,MIFID II,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,MIFID II,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,MIFID II,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,MIFID II,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,MIFID II,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash balances at central banks
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash on hand
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,"Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Other demand deposits
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Derivatives – Hedge accounting,Hedge accounting derivatives,Hedge accounting derivatives
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Amortised cost financial assets,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets at amortised cost,Amortised cost financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Financial assets in other  income,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Financial assets in other  income,Equity instruments
